"KPI_ID","Order","Strategy","Objective","KPI_Name","Unit","Direction","Baseline","Target","Actual","Status","Responsible_Dept","Note_Revision"
"KPI69-01","1","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","ร้อยละของประชาชนวัยทำงานอายุ 19-59 ปี มี BMI เกินได้รับการปรับเปลี่ยนพฤติกรรมและมี BMI ลดลง","ร้อยละ","ยิ่งน้อยยิ่งดี","46.74","< 40","","อยู่ระหว่างดำเนินการ","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI69-02","2","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","ระดับคะแนนความสำเร็จของอำเภอในการดำเนินงานความรอบรู้ด้านสุขภาพในการป้องกันโรค Stroke, Pneumonia และภาวะติดเชื้อในกระแสเลือด","คะแนน","ยิ่งมากยิ่งดี","82.06","85","","อยู่ระหว่างดำเนินการ","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI69-03","3","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","จำนวนอำเภอที่ผ่านเกณฑ์คุณภาพการพัฒนาคุณภาพชีวิตระดับอำเภอ Plus (พชอ. Plus)","อำเภอ","ยิ่งมากยิ่งดี","26","26","","อยู่ระหว่างดำเนินการ","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI69-04","4","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็กปฐมวัยมีพัฒนาการสมวัย","ร้อยละ","ยิ่งมากยิ่งดี","69.50","88","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI69-05","5","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 0-5 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","65.49","78","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI69-06","6","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 6-14 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","59.77","≥ 63","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI69-07","7","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ผู้สูงอายุและผู้ที่มีภาวะพึ่งพิงได้รับการดูแลในระบบ Long Term Care และเข้าถึงตามชุดสิทธิประโยชน์","ร้อยละ","ยิ่งมากยิ่งดี","99.29","99","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI69-08","8","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายมารดา","ต่อแสนการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","11.14","≤13","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI69-09","9","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายของทารกแรกเกิด","ต่อพันการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","3.28","< 2.1","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI69-10","10","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของผู้สูงอายุไม่มีภาวะพึ่งพิง","ร้อยละ","ยิ่งมากยิ่งดี","95.32","96","","อยู่ระหว่างดำเนินการ","กลุ่มงานส่งเสริมสุขภาพ",""
