"KPI_ID","Order","Strategy","Objective","KPI_Name","Unit","Direction","Baseline","Target","Actual","Status","Responsible_Dept","Note_Revision"
"KPI70-01","1","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","ร้อยละของประชาชนวัยทำงานอายุ 19-59 ปี มี BMI เกินได้รับการปรับเปลี่ยนพฤติกรรมและมี BMI ลดลง","ร้อยละ","ยิ่งน้อยยิ่งดี","46.74","< 38","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-02","2","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","ระดับคะแนนความสำเร็จของอำเภอในการดำเนินงานความรอบรู้ด้านสุขภาพในการป้องกันโรค Stroke, Pneumonia และภาวะติดเชื้อในกระแสเลือด","คะแนน","ยิ่งมากยิ่งดี","82.06","88","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-03","3","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","จำนวนอำเภอที่ผ่านเกณฑ์คุณภาพการพัฒนาคุณภาพชีวิตระดับอำเภอ Plus (พชอ. Plus)","อำเภอ","ยิ่งมากยิ่งดี","26","26","","รอเปิดรอบรายงาน","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI70-04","4","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็กปฐมวัยมีพัฒนาการสมวัย","ร้อยละ","ยิ่งมากยิ่งดี","69.50","90","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-05","5","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 0-5 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","65.49","80","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-06","6","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 6-14 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","59.77","≥ 65","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-07","7","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ผู้สูงอายุและผู้ที่มีภาวะพึ่งพิงได้รับการดูแลในระบบ Long Term Care และเข้าถึงตามชุดสิทธิประโยชน์","ร้อยละ","ยิ่งมากยิ่งดี","99.29","99.5","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-08","8","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายมารดา","ต่อแสนการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","11.14","≤12","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-09","9","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายของทารกแรกเกิด","ต่อพันการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","3.28","< 2.0","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-10","10","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของผู้สูงอายุไม่มีภาวะพึ่งพิง","ร้อยละ","ยิ่งมากยิ่งดี","95.32","96.5","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI70-11","11","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละสตรีอายุ 30-60 ปี กลุ่มเป้าหมายได้รับการคัดกรองมะเร็งปากมดลูกด้วยวิธี HPV DNA (สะสมผลงาน 2568-2570 ≥ 80%)","ร้อยละ","ยิ่งมากยิ่งดี","11.26","≥ 80","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-12","12","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของประชาชนอายุ 50-70 ปี (รายใหม่) กลุ่มเป้าหมายได้รับการคัดกรองมะเร็ง ลำไส้ใหญ่/ไส้ตรง ด้วยวิธี FIT Test","ร้อยละ","ยิ่งมากยิ่งดี","74.37","85","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-13","13","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของผู้ที่มีผลผิดปกติ (มะเร็งลำไส้ใหญ่และไส้ตรงผิดปกติ) ได้รับการส่องกล้อง Colonoscopy","ร้อยละ","ยิ่งมากยิ่งดี","64.57","95","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-14","14","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราความครอบคลุมของการค้นหาผู้ป่วยวัณโรคในกลุ่มผู้สัมผัสร่วมบ้านและผู้สัมผัสใกล้ชิด","ร้อยละ","ยิ่งมากยิ่งดี","100","100","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI70-15","15","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราป่วยโรคเบาหวานและโรคความดันโลหิตสูงรายใหม่ ลดลง","ร้อยละ","ยิ่งมากยิ่งดี","","8 / 2","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-16","16","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของเด็กอายุ 12 ปี ฟันดีไม่มีผุ (Cavity free)","ร้อยละ","ยิ่งมากยิ่งดี","76.90","88","","รอเปิดรอบรายงาน","กลุ่มงานทันตสาธารณสุข",""
"KPI70-17","17","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 3","จำนวนโรงพยาบาลที่ยกระดับการพัฒนาอนามัยสิ่งแวดล้อมได้ตามเกณฑ์ GREEN & CLEAN Hospital","แห่ง","ยิ่งมากยิ่งดี","","0 / 16 / 10","","รอเปิดรอบรายงาน","กลุ่มงานอนามัยสิ่งแวดล้อมและอาชีวอนามัย",""
"KPI70-18","18","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราความสำเร็จของการรักษาวัณโรคปอดรายใหม่","ร้อยละ","ยิ่งมากยิ่งดี","74.59","95","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI70-19","19","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละประชาชนกลุ่มเป้าหมายเป็นโรคพยาธิใบไม้ตับลดลง","ร้อยละ","ยิ่งน้อยยิ่งดี","3.64","≤ 0.8","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI70-20","20","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราการฆ่าตัวตายสำเร็จ","ต่อแสนประชากร","ยิ่งน้อยยิ่งดี","7.21","≤ 7.5","","รอเปิดรอบรายงาน","กลุ่มงานส่งเสริมสุขภาพจิตและยาเสพติด",""
"KPI70-21","21","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราตายผู้ป่วยติดเชื้อในกระแสเลือดแบบรุนแรงชนิด (Community-Acquired)","ร้อยละ","ยิ่งน้อยยิ่งดี","23.14","< 23","","รอเปิดรอบรายงาน","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI70-22","22","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราผู้ป่วยโรคหลอดเลือดสมอง รายใหม่ต่อประชากรแสนคน","ต่อแสนประชากร","ยิ่งน้อยยิ่งดี","288.57","235","","รอเปิดรอบรายงาน","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI70-23","23","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วย IMC ได้รับการบริบาลฟื้นสภาพและติดตามจนครบ 6 เดือน หรือจน Barthel index = 20 ก่อนครบ 6 เดือน","ร้อยละ","ยิ่งมากยิ่งดี","95.23","99","","รอเปิดรอบรายงาน","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI70-24","24","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราการติดเชื้อดื้อยาในกระแสเลือดลดลง","อัตรา","ยิ่งน้อยยิ่งดี","≤ ปีที่ผ่านมา","≤ ปีที่ผ่านมา","","รอเปิดรอบรายงาน","กลุ่มงานคุ้มครองผู้บริโภคและเภสัชสาธารณสุข",""
"KPI70-25","25","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วยที่มีการวินิจฉัยโรคหลอดเลือดสมอง อัมพฤกษ์ อัมพาต ระยะกลาง (Intermediate Care) ที่ได้รับการดูแลด้วยการแพทย์แผนไทยและการแพทย์ทางเลือก","ร้อยละ","ยิ่งมากยิ่งดี","8.17","≥24","","รอเปิดรอบรายงาน","กลุ่มงานการแพทย์แผนไทยและการแพทย์ทางเลือก",""
"KPI70-26","26","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละผู้ป่วยนอกที่ได้รับบริการ ตรวจ วินิจฉัย รักษาโรค และฟื้นฟูสภาพ ด้วยศาสตร์การแพทย์แผนไทยและการแพทย์ทางเลือก","ร้อยละ","ยิ่งมากยิ่งดี","21.19","≥24","","รอเปิดรอบรายงาน","กลุ่มงานการแพทย์แผนไทยและการแพทย์ทางเลือก",""
"KPI70-27","27","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วยเบาหวานควบคุมน้ำตาลได้","ร้อยละ","ยิ่งมากยิ่งดี","30.01","45","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-28","28","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วยความดันโลหิตสูงควบคุมความดันโลหิตได้","ร้อยละ","ยิ่งมากยิ่งดี","58.96","65","","รอเปิดรอบรายงาน","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI70-29","29","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละการจัดตั้งหน่วยบริการปฐมภูมิและเครือข่ายหน่วยบริการปฐมภูมิตามพระราชบัญญัติระบบสุขภาพปฐมภูมิ พ.ศ. 2562","ร้อยละ","ยิ่งมากยิ่งดี","100","100","","รอเปิดรอบรายงาน","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI70-30","30","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละของการให้บริการผู้ป่วยนอกด้วยระบบด้วยระบบการแพทย์ทางไกล (Telemedicine) ในหน่วยบริการปฐมภูมิ","ร้อยละ","ยิ่งมากยิ่งดี","-","30","","รอเปิดรอบรายงาน","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI70-31","31","ยุทธศาสตร์ที่ 3","เป้าประสงค์ที่ 6","บุคลากรที่ปฏิบัติงานในสำนักงานสาธารณสุขอำเภอได้รับการพัฒนาสมรรถนะหลักและสมรรถนะรอง (Regulator/ กฎหมาย/ พรบ.การสาธารณสุข พ.ศ. 2535/ Hard skill/ Soft skill/ AI)","ร้อยละ","ยิ่งมากยิ่งดี","87.69","95","","รอเปิดรอบรายงาน","กลุ่มงานบริหารทรัพยากรบุคคล",""
"KPI70-32","32","ยุทธศาสตร์ที่ 3","เป้าประสงค์ที่ 6","บุคลากรที่ปฏิบัติงานในระดับเครือข่ายบริการสุขภาพได้รับการพัฒนาสมรรถนะหลักและสมรรถนะรอง","ร้อยละ","ยิ่งมากยิ่งดี","-","85","","รอเปิดรอบรายงาน","กลุ่มงานบริหารทรัพยากรบุคคล",""
