"KPI_ID","Order","Strategy","Objective","KPI_Name","Unit","Direction","Baseline","Target","Actual","Status","Responsible_Dept","Note_Revision"
"KPI68-01","1","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","ร้อยละของประชาชนวัยทำงานอายุ 19-59 ปี มี BMI เกินได้รับการปรับเปลี่ยนพฤติกรรมและมี BMI ลดลง","ร้อยละ","ยิ่งมากยิ่งดี","3.94","3","46.74","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-02","2","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","อัตราความรอบรู้ด้านสุขภาพของผู้ป่วยโรคเบาหวานและโรคความดันโลหิตสูง","ร้อยละ","ยิ่งมากยิ่งดี","82.06","72","82.06","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-03","3","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","จำนวนอำเภอที่ผ่านเกณฑ์คุณภาพการพัฒนาคุณภาพชีวิต","อำเภอ","ยิ่งมากยิ่งดี","26","26","26","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI68-04","4","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็กปฐมวัยมีพัฒนาการสมวัย","ร้อยละ","ยิ่งมากยิ่งดี","76.33","87","70.10","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-05","5","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 0-5 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","64.20","78","67.06","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-06","6","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 6-14 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","63.83","66","59.77","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-07","7","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ผู้สูงอายุและผู้ที่มีภาวะพึ่งพิงได้รับการดูแลในระบบ Long Term Care และเข้าถึงตามชุดสิทธิประโยชน์","ร้อยละ","ยิ่งมากยิ่งดี","98.43","98.5","99.29","บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-08","8","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายมารดา ไม่เกิน 17 ต่อแสนการเกิดมีชีพ","ต่อแสนการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","17.39","≤14","11.14","บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-09","9","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายของทารกแรกเกิดไม่เกิน 3.6 ต่อพันการเกิดมีชีพ","ต่อพันการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","3.32","2.3","3.28","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-10","10","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของผู้สูงอายุไม่มีภาวะพึ่งพิง","ร้อยละ","ยิ่งมากยิ่งดี","95.20","95.50","95.32","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI68-11","11","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละสตรีอายุ 30-60 ปี กลุ่มเป้าหมายได้รับการคัดกรองมะเร็งปากมดลูกด้วยวิธี HPV DNA","ร้อยละ","ยิ่งมากยิ่งดี","59.34","80","11.15","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-12","12","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ประชาชนอายุ 50-70 ปี (รายใหม่) กลุ่มเป้าหมายได้รับการคัดกรองมะเร็งลำไส้ใหญ่/ไส้ตรงด้วยวิธี FIT Test","ร้อยละ","ยิ่งมากยิ่งดี","100.84","97","74.37","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-13","13","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","กลุ่มเป้าหมาย FIT Test ที่มีผล Positive ได้รับการส่องกล้อง Colonoscopy","ร้อยละ","ยิ่งมากยิ่งดี","81.46","85","83.07","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-14","14","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราความครอบคลุมของการค้นหาผู้ป่วยวัณโรคในกลุ่มผู้สัมผัสร่วมบ้าน","ร้อยละ","ยิ่งมากยิ่งดี","100","100","100","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI68-15","15","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 3","อัตราป่วยโรคเบาหวานและโรคความดันโลหิตสูงรายใหม่ ลดลง","ร้อยละ","ยิ่งมากยิ่งดี","","6 / 3","7.99 / -0.11","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-16","16","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 3","จำนวนโรงพยาบาลที่ยกระดับการพัฒนาอนามัยสิ่งแวดล้อมได้ตามเกณฑ์ GREEN & CLEAN Hospital","แห่ง","ยิ่งมากยิ่งดี","","4 / 16 / 6","0 / 18 / 8","บรรลุเป้าหมาย","กลุ่มงานอนามัยสิ่งแวดล้อมและอาชีวอนามัย",""
"KPI68-17","17","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราความสำเร็จของการรักษาวัณโรคปอดรายใหม่","ร้อยละ","ยิ่งมากยิ่งดี","66.90","90","74.59","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI68-18","18","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละประชาชนกลุ่มเป้าหมายเป็นโรคพยาธิใบไม้ตับลดลง","ร้อยละ","ยิ่งน้อยยิ่งดี","","≤ 1 / ≤ 40","137.60","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI68-19","19","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราการฆ่าตัวตายสำเร็จ ไม่เกิน 8 ต่อประชากรแสนคน","ต่อแสนประชากร","ยิ่งน้อยยิ่งดี","6.39","6.39","8.86","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพจิตและยาเสพติด",""
"KPI68-20","20","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราตายผู้ป่วยติดเชื้อในกระแสเลือดแบบรุนแรงชนิด (Community-Acquired) น้อยกว่าร้อยละ 26","ร้อยละ","ยิ่งน้อยยิ่งดี","24.02","< 24","23.14","บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI68-21","21","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราผู้ป่วยโรคหลอดเลือดสมอง รายใหม่ต่อประชากรแสนคน","ต่อแสนประชากร","ยิ่งน้อยยิ่งดี","262","232","288.57","ไม่บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI68-22","22","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วย IMC ได้รับการบริบาลฟื้นสภาพและติดตามจนครบ 6 เดือน หรือจน Barthel index = 20 ก่อนครบ 6 เดือน (เป้าหมายร้อยละ 98)","ร้อยละ","ยิ่งมากยิ่งดี","93.5","99","95.23","ไม่บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI68-23","23","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราการติดเชื้อดื้อยาในกระแสเลือด","อัตรา","ยิ่งน้อยยิ่งดี","≤ ปีที่ผ่านมา","≤ ปีที่ผ่านมา","43.43","บรรลุเป้าหมาย","กลุ่มงานคุ้มครองผู้บริโภคและเภสัชสาธารณสุข",""
"KPI68-24","24","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วยที่มีการวินิจฉัยโรคหลอดเลือดสมอง อัมพฤกษ์ อัมพาต ระยะกลาง (Intermediate Care) ที่ได้รับการดูแลด้วยการแพทย์แผนไทยและการแพทย์ทางเลือก","ร้อยละ","ยิ่งมากยิ่งดี","11.01","≥21","8.17","ไม่บรรลุเป้าหมาย","กลุ่มงานการแพทย์แผนไทยและการแพทย์ทางเลือก",""
"KPI68-25","25","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละผู้ป่วยนอกที่ได้รับบริการ ตรวจ วินิจฉัย รักษาโรค และฟื้นฟูสภาพ ด้วยศาสตร์การแพทย์แผนไทยและการแพทย์ทางเลือก","ร้อยละ","ยิ่งมากยิ่งดี","22.09","≥22","21.90","ไม่บรรลุเป้าหมาย","กลุ่มงานการแพทย์แผนไทยและการแพทย์ทางเลือก",""
"KPI68-26","26","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละของผู้ป่วยเบาหวานควบคุมน้ำตาลได้","ร้อยละ","ยิ่งมากยิ่งดี","31.69","40","30.01","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-27","27","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละของผู้ป่วยความดันโลหิตสูงควบคุมความดันโลหิตได้","ร้อยละ","ยิ่งมากยิ่งดี","59.3","65","58.96","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI68-28","28","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละการจัดตั้งหน่วยบริการปฐมภูมิและเครือข่ายหน่วยบริการปฐมภูมิตามพระราชบัญญัติระบบสุขภาพปฐมภูมิ พ.ศ. 2562","ร้อยละ","ยิ่งมากยิ่งดี","75.15","100","100","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI68-29","29","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","อัตราส่วนการใช้บริการผู้ป่วยนอกที่หน่วยบริการปฐมภูมิเทียบกับโรงพยาบาลแม่ข่าย (60 : 40)","ร้อยละ","ยิ่งมากยิ่งดี","69.75","85","86.20","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI68-30","30","ยุทธศาสตร์ที่ 3","เป้าประสงค์ที่ 6","ร้อยละบุคลากรใน สสอ.ได้รับการพัฒนาสมรรถนะ อย่างน้อย 2 เรื่อง (Regulator & กฎหมายและ พ.ร.บ.สาธารณสุข พ.ศ.2535)","ร้อยละ","ยิ่งมากยิ่งดี","69.23","80","87.69","บรรลุเป้าหมาย","กลุ่มงานบริหารทรัพยากรบุคคล",""
"KPI68-31","31","ยุทธศาสตร์ที่ 3","เป้าประสงค์ที่ 6","ร้อยละหน่วยบริการได้รับการพัฒนากำลังคนตามแผนยกระดับระดับบริการสาธารณสุข (SAP)","ร้อยละ","ยิ่งมากยิ่งดี","100","100","100","บรรลุเป้าหมาย","กลุ่มงานบริหารทรัพยากรบุคคล",""
"KPI68-32","32","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 7","จำนวนนวัตกรรมหรือเทคโนโลยีสุขภาพที่คิดค้นใหม่หรือพัฒนาต่อยอด เพื่อแก้ไขปัญหาสาธารณสุขที่สำคัญจังหวัดขอนแก่น","เรื่อง","ยิ่งมากยิ่งดี","329","330 (เรื่อง)","448","บรรลุเป้าหมาย","กลุ่มงานพัฒนายุทธศาสตร์สาธารณสุข",""
"KPI68-33","33","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 7","จำนวนหน่วยงานสาธารณสุขที่พัฒนาสู่องค์กรดิจิทัล","แห่ง","ยิ่งมากยิ่งดี","","26 แห่ง","22 แห่ง","ไม่บรรลุเป้าหมาย","กลุ่มงานเทคโนโลยีสารสนเทศ",""
"KPI68-34","34","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 7","หน่วยบริการที่มีการบริการการแพทย์ทางไกลตามเกณฑ์ที่กำหนด","ครั้ง/รพ.","ยิ่งมากยิ่งดี","1,200 ครั้ง","ตามเกณฑ์ KPI กสธ.ปี 2568","ผ่านเกณฑ์","บรรลุเป้าหมาย","กลุ่มงานเทคโนโลยีสารสนเทศ",""
"KPI68-35","35","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 8","โรงพยาบาลสังกัดกระทรวงสาธารณสุขมีคุณภาพมาตรฐาน HA ผ่านการรับรอง HA ขั้น 3","แห่ง","ยิ่งมากยิ่งดี","","26 แห่ง","24 แห่ง","ไม่บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI68-36","36","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 8","จำนวนสาธารณสุขอำเภอ ผ่านเกณฑ์ SMART สสอ.","แห่ง","ยิ่งมากยิ่งดี","5","10","10","บรรลุเป้าหมาย","กลุ่มงานพัฒนายุทธศาสตร์สาธารณสุข",""
"KPI68-37","37","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 8","ร้อยละของหน่วยบริการปฐมภูมิ ทุกสังกัด ผ่านเกณฑ์มาตรฐานหน่วยบริการปฐมภูมิ","ร้อยละ","ยิ่งมากยิ่งดี","41.08","100","100","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI68-38","38","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 9","จำนวนโรงพยาบาลมีการบริหารการเงินการคลังอย่างมีประสิทธิภาพ","แห่ง","ยิ่งมากยิ่งดี","22 แห่ง","23 แห่ง","21 แห่ง","ไม่บรรลุเป้าหมาย","กลุ่มงานประกันสุขภาพ",""
"KPI68-39","39","ยุทธศาสตร์ที่ 5","เป้าประสงค์ที่ 10","ร้อยละผลิตภัณฑ์สุขภาพและสถานประกอบการมีคุณภาพตามเกณฑ์","ร้อยละ","ยิ่งมากยิ่งดี","97.01",">93","100","บรรลุเป้าหมาย","กลุ่มงานคุ้มครองผู้บริโภคและเภสัชสาธารณสุข",""
